topic,count,depth,parent,definition,emoji,examples
Venustraphobia,3,1,weird phobias,"Venustraphobia is a fear or phobia of beautiful women. It is classified as a weird phobia and can be a result of various underlying psychological or social factors. Like many other phobias, it can cause significant distress and interfere with daily life.",👩‍🦱 (woman with curly hair),"- Fear of receiving compliments from attractive women
- Avoiding social gatherings or events where attractive women may be present
- Refusing to watch movies or TV shows featuring attractive female actors or characters
- Fear of approaching or talking to attractive women
- Feeling physically ill or experiencing panic attacks when in the presence of attractive women."
Pogonophobia,3,1,weird phobias,"Pogonophobia is an irrational fear of beards or facial hair. It is considered a weird phobia, which refers to a subset of specific phobias that involve intense and persistent fear of an object or situation that is not usually considered dangerous or harmful.",🧔‍♂️,"- Chaetophobia, which is an irrational fear of hair, including one's own hair or hair on others.
- Turophobia, which is an irrational fear of cheese. 
- Selenophobia, which is an irrational fear of the moon.
- Arachibutyrophobia, which is an irrational fear of peanut butter sticking to the roof of one's mouth.
- Nomophobia, which is an irrational fear of being without mobile phone coverage or without one's mobile phone altogether."
Nomophobia,3,1,weird phobias,"Nomophobia is a modern-day phobia characterized by a fear of being without access to one's mobile phone or technology, resulting in anxiety and discomfort. It is one of the many unusual phobias that have developed due to the increasing dependence on technology in our daily lives.",📵,"- Fear of not having a charged phone battery
- Fear of losing one's phone or having it stolen
- Fear of being in a location with poor or no cell phone reception
- Fear of not being able to check social media or emails regularly
- Fear of not being able to use GPS or navigation apps while traveling"
Hippopotomonstrosesquippedaliophobia,3,1,weird phobias,Hippopotomonstrosesquippedaliophobia is a fear of long words. This phobia is an example of the many weird and unusual phobias that exist.,🙈,"- Ablutophobia: Fear of bathing
- Arachibutyrophobia: Fear of peanut butter sticking to the roof of your mouth
- Coulrophobia: Fear of clowns
- Genuphobia: Fear of knees
- Ombrophobia: Fear of rain
- Pogonophobia: Fear of beards
- Triskaidekaphobia: Fear of the number 13
- Xanthophobia: Fear of the color yellow"
Coulrophobia,3,1,weird phobias,"Coulrophobia is a fear of clowns that is considered a weird phobia. It is a common fear that affects a significant number of people, and it is often seen as an irrational fear. Like other weird phobias, it can be challenging to manage and can interfere with daily life.",🤡,"- Fear of holes (trypophobia)
- Fear of long words (hippopotomonstrosesquippedaliophobia)
- Fear of peanut butter sticking to the roof of your mouth (arachibutyrophobia)
- Fear of the number 13 (triskaidekaphobia)
- Fear of balloons popping (globophobia)"
Arachibutyrophobia,3,1,weird phobias,Arachibutyrophobia is an unusual and specific phobia that is characterized by an intense fear of having peanut butter stuck to the roof of one's mouth. This phobia is considered a type of weird phobia or a rare phobia.,🥜,"- Refusing to eat anything that might contain peanut butter
- Avoiding social situations where peanut butter might be present, such as picnics or parties
- Feeling anxious or panicky at the sight or smell of peanut butter
- Checking and re-checking the roof of one's mouth to ensure there is no peanut butter stuck to it
- Having nightmares or intrusive thoughts about peanut butter"
Ablutophobia,3,1,weird phobias,"Ablutophobia is an irrational and persistent fear of bathing, washing or cleaning oneself. It is a type of specific phobia and falls under the category of weird phobias. People with ablutophobia may experience intense anxiety, panic attacks, and avoidant behavior towards any situations that involve cleanliness or hygiene.",🛁,"- Fear of touching soap or other cleaning products
- Fear of getting wet or being submerged in water
- Fear of public restrooms or other shared bathing facilities
- Fear of having others wash or clean them, such as in a spa or salon
- Fear of seeing others bathe or clean themselves in any way."
Fear Of Beautiful Women,3,2,Venustraphobia,"Venustraphobia, commonly known as the fear of beautiful women, is an irrational and persistent fear of attractive females. It is considered a subset of weird phobias, which are uncommon and often inexplicable fears. People with venustraphobia may experience anxiety, panic attacks, and avoidance behaviors when faced with beautiful women, which can significantly impact their daily lives.",😱,"- A man avoids going to social events or parties where he knows there will be attractive women present.
- A woman becomes anxious and avoids going to work if there is a new coworker who is considered very attractive.
- A person experiences panic attacks and avoids going to public places where they may come across a beautiful woman."
Fear Of Beautiful Things,3,2,Venustraphobia,"Fear of beautiful things, or Venustraphobia, is an irrational fear or aversion towards aesthetically pleasing objects or people. It is considered a subset of weird phobias, which are unusual or uncommon fears that can have a significant impact on a person's daily life. People who suffer from Venustraphobia may experience anxiety, panic attacks, or avoidance behaviors when confronted with objects or individuals they perceive as beautiful or attractive.",😱,"- Fear of flowers, such as roses or sunflowers.
- Fear of attractive people, whether it be due to their physical appearance or personality.
- Fear of artwork, such as paintings or sculptures, that are considered to be aesthetically pleasing.
- Fear of architecture, such as grand buildings or intricate designs.
- Fear of nature, such as scenic landscapes or picturesque views.
- Fear of mirrors or reflective surfaces, as they may reflect the person's own beauty or attractiveness."
Astrophobia,3,2,Venustraphobia,"Astrophobia is an irrational fear of celestial objects, including stars, planets, and other astronomical phenomena. It is a type of weird phobia and is often referred to as Venustraphobia. People with this phobia may experience anxiety or panic attacks when looking at the sky or thinking about space.",🌌,"- Refusing to go outside at night due to fear of stars and constellations
- Avoiding any type of space-themed movies, TV shows, or books
- Feeling anxious or panicked when seeing images of celestial objects, such as the moon or planets, on TV or in magazines
- Refusing to visit planetariums or observatories
- Avoiding any type of conversation related to space or astronomy, even in passing
- Refusing to travel in airplanes or spacecraft due to fear of being closer to space
- Feeling uneasy or anxious when looking at or using telescopes"
Trichopathophobia,7,2,Pogonophobia,"Trichopathophobia is an intense and irrational fear of hair, including one's own hair or the hair of others. This fear is considered a subset of weird phobias, which are characterized by unusual or irrational fears that can disrupt normal functioning. People with trichopathophobia may avoid hair or experience extreme anxiety when confronted with it, which can interfere with their daily lives.",💇‍♀️,"- Fear of hair salons or hairdressers
- Refusing to touch or brush one's own hair
- Avoiding social situations where there may be a lot of hair, such as concerts or festivals
- Refusing to date or be intimate with someone who has a lot of hair
- Fear of shedding hair or losing hair
- Refusing to touch or be near pets with fur or hair."
Pogonotophobia,6,2,Pogonophobia,"Pogonotophobia is a type of phobia characterized by an irrational fear of beards or being in close proximity to them. This fear is classified as a subset of weird phobias, which are often considered unusual or irrational fears of specific things or situations. People with pogonotophobia may experience anxiety, panic attacks, and avoidance behaviors when faced with bearded individuals or situations involving beards.",🧔‍♂️,"- A person with pogonotophobia may avoid going to a barber shop or salon due to fear of being around people with beards.
- They may also avoid social events or gatherings where bearded individuals are present.
- Some people with pogonotophobia may even experience anxiety or panic attacks when seeing pictures or videos of bearded individuals."
Triskaidekaphobia,4,2,Hippopotomonstrosesquippedaliophobia,"Triskaidekaphobia is the fear of the number 13. It is considered a weird phobia, which is a subset of phobias that may seem illogical or unusual.",🔢,"- Refusing to stay on the 13th floor of a building or booking a hotel room on that floor.
- Avoiding the number 13 altogether, such as not scheduling appointments on the 13th of the month or refusing to pay $13 for anything.
- Feeling anxious or fearful during Friday the 13th, which is considered an unlucky day in Western superstition.
- Refusing to get married, travel, or make major life decisions on the 13th day of the month or when it falls on a Friday.
- Believing that encountering the number 13 repeatedly brings bad luck or doom, such as seeing it on license plates, clocks, receipts, or other places."
Sesquipedalophobia,4,2,Hippopotomonstrosesquippedaliophobia,"Sesquipedalophobia is a fear of long words, which is ironic given the length of the word itself. It is considered a subset of weird phobias, as it is not a common fear and may seem irrational to some.",🐘,"- Fear of long words (Sesquipedalophobia)
- Fear of peanut butter sticking to the roof of your mouth (Arachibutyrophobia)
- Fear of the number 13 (Triskaidekaphobia)
- Fear of clowns (Coulrophobia)
- Fear of being without a mobile phone (Nomophobia)
- Fear of vegetables (Lachanophobia)
- Fear of opening your eyes (Ommatophobia)
- Fear of large objects (Megalophobia)
- Fear of the color yellow (Xanthophobia)
- Fear of long waits (Macrophobia)"
Logophobia,4,2,Hippopotomonstrosesquippedaliophobia,"Logophobia is the fear or aversion to words or language, which is considered a subset of weird phobias. It is a specific phobia that can cause extreme anxiety or panic when faced with reading, writing, or speaking words. People with logophobia may avoid situations that involve language or become distressed when exposed to words.",🙊,"- Anatidaephobia: The fear that somewhere, somehow, a duck is watching you.
- Arachibutyrophobia: The fear of peanut butter sticking to the roof of your mouth.
- Nomophobia: The fear of being without your mobile phone or being unable to use it.
- Pogonophobia: The fear of beards.
- Triskaidekaphobia: The fear of the number 13."
Trypophobia,4,2,Coulrophobia,"Trypophobia is a fear or aversion to clusters of small holes or bumps. It is considered a weird phobia, which is a subset of unusual or uncommon phobias. People with trypophobia may experience anxiety, disgust, or even panic when exposed to images or objects with these patterns.",🤢,"- Lotus seed pods
- Honeycomb
- Pomegranate seeds
- Coral reefs
- Bubble wrap
- Sponges
- Swiss cheese
- Barnacles on a ship's hull
- Frog eggs
- Cluster of eyes on a peacock's tail"
Peanut Butter Phobia,3,2,Arachibutyrophobia,Peanut Butter Phobia is an irrational fear of having peanut butter stuck to the roof of one's mouth. It is considered a subset of weird phobias and can cause distress and anxiety for those who suffer from it.,🥜🤢,"- Refusing to eat any food that has even a small amount of peanut butter in it.
- Avoiding social situations where peanut butter might be present, such as potlucks or parties.
- Feeling extreme anxiety or panic at the mere thought of peanut butter.
- Obsessively checking the roof of the mouth after eating anything that might contain peanut butter.
- Refusing to allow anyone else in the household to eat peanut butter, or insisting on separate utensils and dishes for peanut butter consumption."
Fear Of Washing,4,2,Ablutophobia,"Fear of washing, or Ablutophobia, is a type of phobia where a person experiences intense anxiety and avoidance towards cleaning oneself or others. It is categorized as a weird phobia due to its unusual nature and the fact that it can greatly affect a person's daily life and hygiene practices.",🙈,"- Fear of taking showers or baths
- Fear of washing hands or other body parts
- Fear of using soap or other cleaning products
- Fear of being in or near water
- Fear of being touched or washed by others
- Fear of using public restrooms or shower facilities
- Fear of getting wet in any way, including rain or sweat."
Fear Of Cleanliness,3,2,Ablutophobia,"Fear of cleanliness, or Ablutophobia, is a type of irrational fear that is considered a subset of weird phobias. People who suffer from this phobia may experience extreme anxiety and discomfort when faced with the prospect of cleaning or being clean. This fear can disrupt daily life and lead to avoidance behaviors.",🧼,"- Fear of touching or using public restrooms
- Fear of taking a shower or bath
- Fear of using hand sanitizer or disinfectant wipes
- Fear of touching or using cleaning products
- Fear of being near people who are clean or smell clean
- Fear of wearing clean clothes or using clean towels
- Fear of being in a clean room or space
- Fear of eating food prepared by someone else or in a clean environment."
Social Anxiety Disorder,5,3,Fear Of Beautiful Women,"Social Anxiety Disorder is a mental health condition characterized by a persistent fear of social situations, particularly those involving interaction with other people. It is one of many types of phobias that fall under the category of weird phobias. Those who suffer from this disorder may experience intense feelings of self-consciousness, embarrassment, and inadequacy, leading to avoidance of social situations altogether.",🙈,"- Fear of approaching or talking to attractive women, referred to as Venustraphobia or Fear of Beautiful Women
- Fear of public speaking, also known as Glossophobia
- Fear of eating or drinking in front of others, known as Social Eating Phobia or Sitophobia
- Fear of eye contact, referred to as Ophthalmophobia
- Fear of being judged or scrutinized by others, known as Scopophobia or Social Phobia 
- Fear of being in crowded places, called Agoraphobia 
- Fear of using public restrooms, known as Paruresis or Shy Bladder Syndrome 
- Fear of making phone calls, referred to as Telephobia or Phone Phobia 
- Fear of being touched, known as Haphephobia or Touch Phobia 
- Fear of being in social situations where alcohol is present, called Dipsophobia."
